TotalSteps,TotalDistance,Calories,SCORE
6393,4.78000021,3374,0
5325,3.980000019,3088,0
6805,5.139999866,3294,0
9841,7.429999828,3580,0
7924,5.920000076,3544,0
12363,9.239999771,4501,0
13368,9.989999771,4546,0
7439,5.559999943,3014,0
11045,8.25,3795,0
5206,3.890000105,2755,0
7550,5.639999866,3004,0
4950,3.700000048,2643,0
0,0,1819,0
0,0,1819,0
3421,2.559999943,2489,0
8869,6.650000095,3841,0
4038,3.039999962,1665,0
0,0,1496,0
0,0,1496,0
0,0,1496,0
14019,10.59000015,2865,0
14450,10.90999985,2828,0
7150,5.400000095,2225,0
5153,3.910000086,2018,0
11135,8.409999847,2606,0
10449,8.020000458,2536,0
19542,15.01000023,4900,0
8206,6.199999809,2409,0
11495,8.680000305,2651,0
7623,5.760000229,2305,0
0,0,1497,0
9543,7.210000038,2450,0
9411,7.110000134,2576,0
3403,2.599999905,1879,0
9592,7.239999771,2560,0
6987,5.28000021,2275,0
8915,6.730000019,2361,0
4933,3.730000019,2044,0
0,0,1496,0
2997,2.25999999,1902,0
9799,7.400000095,2636,0
3365,2.680000067,1838,0
7336,5.539999962,2469,0
7328,5.53000021,2250,0
4477,3.380000114,1248,0
4562,3.450000048,2560,0
7142,5.400000095,2905,0
7671,5.800000191,2952,0
9501,7.179999828,2896,0
8301,6.28000021,2783,0
7851,5.940000057,3171,0
6885,5.210000038,2766,0
7142,5.400000095,2839,0
6361,4.809999943,2701,0
0,0,2060,0
6238,4.71999979,2796,0
0,0,2664,0
5896,4.460000038,2703,0
7802,5.900000095,2771,0
0,0,2060,0
5565,4.210000038,2743,0
5731,4.329999924,2687,0
0,0,2060,0
6744,5.099999905,2843,0
9837,7.440000057,3327,0
6781,5.130000114,2725,0
6047,4.570000172,2671,0
5832,4.409999847,2718,0
6339,4.789999962,2682,0
6116,4.619999886,2806,0
5510,4.170000076,2613,0
7706,5.829999924,2712,0
6277,4.75,2175,0
0,0,0,0
0,0,1841,0
4053,2.910000086,2400,0
5162,3.700000048,2507,0
1282,0.920000017,2127,0
4732,3.390000105,2225,0
2497,1.789999962,2067,0
8294,5.949999809,2798,0
0,0,1841,0
10771,7.71999979,3727,0
0,0,1841,0
637,0.460000008,1922,0
0,0,1841,0
2153,1.539999962,2053,0
6474,4.639999866,2484,0
7091,5.269999981,2584,0
0,0,1841,0
703,0.5,1993,0
0,0,1841,0
2503,1.789999962,2280,0
2487,1.779999971,2319,0
0,0,1841,0
9,0.01,1843,0
0,0,1841,0
0,0,1841,0
4697,3.369999886,2496,0
1967,1.409999967,1032,0
10199,6.739999771,1994,0
5652,3.74000001,1718,0
1551,1.029999971,1466,0
5563,3.680000067,1756,0
13217,8.739999771,2173,0
10145,6.710000038,2027,0
11404,7.539999962,2039,0
10742,7.099999905,2046,0
13928,9.550000191,2174,0
11835,9.710000038,2179,0
10725,7.090000153,2086,0
20031,13.23999977,2571,0
5029,3.319999933,1705,0
13239,9.270000458,2194,0
10433,6.900000095,2012,0
10320,6.820000172,2034,0
12627,8.350000381,2182,0
10762,7.110000134,2254,0
10081,6.659999847,2002,0
5454,3.609999895,1740,0
12912,8.539999962,2162,0
12109,8.119999886,2072,0
10147,6.710000038,2086,0
10524,6.960000038,2066,0
5908,3.910000086,1850,0
6815,4.5,1947,0
4188,2.769999981,1659,0
12342,8.720000267,2105,0
15448,10.21000004,2361,0
6722,4.440000057,1855,0
3587,2.369999886,928,0
14172,10.28999996,2937,0
12862,9.649999619,2742,0
11179,8.239999771,2668,0
5273,3.529999971,2098,0
4631,3.099999905,2076,0
8059,5.389999866,2383,0
14816,10.97999954,2832,0
14194,10.47999954,2812,0
15566,11.31000042,3096,0
13744,9.18999958,2763,0
15299,10.23999977,2889,0
8093,5.409999847,2284,0
11085,7.420000076,2667,0
18229,13.34000015,3055,0
15090,10.10000038,2939,0
13541,10.22000027,2830,0
15128,10.11999989,2836,0
20067,14.30000019,3180,0
3761,2.519999981,2051,0
5600,3.75,2225,0
13041,9.180000305,2642,0
14510,10.86999989,2976,0
0,0,1557,0
15010,11.10000038,2933,0
11459,7.670000076,2553,0
0,0,120,0
11317,8.409999847,2772,0
5813,3.619999886,2516,0
9123,6.119999886,2734,0
8585,5.670000076,2395,0
31,0.01,1635,0
0,0,1629,0
9827,6.710000038,2743,0
10688,7.289999962,2944,0
14365,10.64000034,2997,0
9469,6.179999828,2463,0
9753,6.53000021,2846,0
2817,1.809999943,1965,0
3520,2.160000086,2049,0
10091,6.820000172,2752,0
10387,7.070000172,2781,0
11107,8.340000153,2693,0
